Time,RX Data Rate,TX Data Rate,Disk Writes,Space_Available
877,335,5K,28038066,29814236
878,331,4K,28038074,29814236
879,321,4K,28038086,29814236
880,311,4K,28038199,29814236
881,295,4K,28038207,29814236
882,294,4K,28038219,29814236
883,285,4K,28038231,29814236
884,276,4K,28038239,29814236
885,271,4K,28038251,29814236
886,272,3K,28038259,29814236
887,280,3K,28038267,29814236
888,304,3K,28038275,29814236
889,330,3K,28038287,29814236
890,327,3K,28038295,29814236
891,317,3K,28038303,29814236
892,307,3K,28039191,29814236
893,294,3K,28039203,29814236
894,286,3K,28039211,29814236
895,323,3K,28039219,29814236
896,312,2K,28039427,29814236
897,303,2K,28039447,29814208
898,353,2K,28039463,29814208
899,359,3K,28039475,29814208
900,440,3K,28039483,29814208
