Time,APM1 CPU,APM1 Memory,APM2 CPU,APM2 Memory,APM3 CPU,APM3 Memory,APM4 CPU,APM4 Memory,APM5 CPU,APM5 Memory,APM6 CPU,APM6 Memory
765,0.0,0.0,0.0,0.0,35.4,0.0,7.0,0.0,12.7,4.0,0.0,4.5
770,0.0,0.0,0.0,0.0,35.3,0.0,7.2,0.0,12.8,4.0,0.0,4.6
775,0.0,0.0,0.0,0.0,35.2,0.0,7.3,0.0,12.9,4.0,0.0,4.6
780,0.0,0.0,0.0,0.0,35.2,0.0,7.4,0.0,13.0,4.0,0.0,4.6
785,0.0,0.0,0.0,0.0,34.9,0.0,7.8,0.0,13.0,0.0,0.0,4.6
790,0.0,0.0,0.0,0.0,34.7,0.0,8.3,0.0,12.9,0.0,0.0,4.7
795,0.0,0.0,0.0,0.0,34.5,0.0,8.7,0.0,12.8,0.0,0.0,4.7
800,0.0,0.0,0.0,0.0,34.3,0.0,8.9,0.0,12.7,0.0,0.0,4.7
805,0.0,0.0,0.0,0.0,34.1,0.0,9.3,0.0,12.6,0.0,0.0,4.7
810,0.0,0.0,0.0,0.0,33.9,0.0,9.6,0.0,12.6,0.0,0.0,4.8
815,0.0,0.0,0.0,0.0,33.9,0.0,9.8,0.0,12.5,0.0,0.0,4.8
820,0.0,0.0,0.0,0.0,34.0,0.0,10.0,0.0,12.4,0.0,0.0,4.9
825,0.0,0.0,0.0,0.0,34.0,0.0,10.2,0.0,12.3,0.0,0.0,4.9
830,0.0,0.0,0.0,0.0,34.0,0.0,10.3,0.0,12.2,0.8,0.0,4.9
835,0.0,0.0,0.0,0.0,33.9,0.0,10.4,0.0,12.3,4.1,0.0,4.9
840,0.0,0.0,0.0,0.0,33.8,0.0,10.5,0.0,12.4,4.1,0.0,4.9
845,0.0,0.0,0.0,0.0,33.7,0.0,10.5,0.0,12.4,4.1,0.0,5.0
850,0.0,0.0,0.0,0.0,33.7,0.0,10.6,0.0,12.5,4.1,0.0,5.0
855,0.0,0.0,0.0,0.0,33.6,0.0,10.7,0.0,12.6,4.1,0.0,5.1
860,0.0,0.0,0.0,0.0,33.4,0.0,10.9,0.0,12.7,0.0,0.0,5.1
865,0.0,0.0,0.0,0.0,33.2,0.0,11.3,0.0,12.6,0.0,0.0,5.2
870,0.0,0.0,0.0,0.0,33.0,0.0,11.7,0.0,12.6,0.0,0.0,5.2
875,0.0,0.0,0.0,0.0,32.8,0.0,12.0,0.0,12.5,0.0,0.0,5.2
880,0.0,0.0,0.0,0.0,32.6,0.0,12.4,0.0,12.4,0.0,0.0,5.2
885,0.0,0.0,0.0,0.0,32.6,0.0,12.5,0.0,12.4,0.0,0.0,5.3
890,0.0,0.0,0.0,0.0,32.7,0.0,12.7,0.0,12.3,0.0,0.0,5.3
895,0.0,0.0,0.0,0.0,32.7,0.0,12.8,0.0,12.2,0.0,0.0,5.3
900,0.0,0.0,0.0,0.0,32.7,0.0,13.0,0.0,12.1,0.0,0.0,5.3
